transcript_id,logFC,t,P.Value,adj.P.Val,database_source
MINT001225,0.0117,0.0266,0.5733913518836024,0.7573434389872125,miTranscriptome
ENST00000001026,-0.3638,-0.9314,0.8832830720731017,1.0,ENSEMBL
NONCODEG001412,-0.2458,-0.446,0.5090093147485094,0.6584960278906419,lncRNAWiki
AV_01422,0.207,0.3829,0.4870986028512281,0.8340126639220352,Ace View
XM_001111.1,0.1808,0.5358,0.91509818992914,1.0,RefSeq
NM_001039.1,-0.4092,-1.1468,0.5094501751869458,0.601793517960267,RefSeq
uc1434xyz.1,-0.0996,-0.2134,0.8426917302985967,1.0,UCSC Genes
MINT001129,1.8694,5.9886,1.4828228520986944e-08,6.719091005024916e-08,miTranscriptome
XM_001278.1,0.1122,0.2872,0.9148794116621859,1.0,RefSeq
ENST00000001047,2.2691,8.1231,9.49407220779867e-12,4.339672440217601e-11,ENSEMBL
ENST00000001137,1.2361,3.674,9.939497241113213e-08,3.714111223052725e-07,ENSEMBL
NONCODEG001371,0.1862,0.4573,0.6102309539206594,1.0,lncRNAWiki
NM_001269.1,-0.2389,-0.6819,0.5378796338320057,0.7209337585785762,RefSeq
uc1235xyz.1,-1.4276,-4.9377,3.4983525926722373e-10,1.4920237185731918e-09,UCSC Genes
NR_001338.1,0.4987,1.478,0.19255892606467798,0.32852270219549784,RefSeq
XM_001429.1,2.7008,8.9945,1.383499746628173e-10,5.045396908136244e-10,RefSeq
AV_01319,0.4712,1.0866,0.8298786529394958,1.0,Ace View
uc1281xyz.1,0.0873,0.2223,0.5534797667072833,0.7811230896813037,UCSC Genes
MINT001388,1.9152,6.8604,0.00019351823995240815,0.0008396866727177683,miTranscriptome
ENST00000001304,-0.4507,-1.2443,0.5395962650002186,0.9283853414757041,ENSEMBL
ENST00000001043,0.2131,0.4126,0.1315073759945476,0.1850255803739916,ENSEMBL
XM_001032.1,-0.0726,-0.1623,0.4933323000344544,0.8548052940015269,RefSeq
ENST00000001395,-1.8593,-5.7726,6.977642247891821e-11,2.932085974555711e-10,ENSEMBL
ENST00000305886,1.78,5.92,1.2e-08,9.4e-07,ENSEMBL
NR_001206.1,2.233,8.0386,0.002054706956671795,0.0032785163330873255,RefSeq
ENST00000001390,1.3284,4.4552,0.0004649367823958687,0.002213303529701703,ENSEMBL
ENST00000300854,1.89,6.31,3.7e-09,3.1e-07,ENSEMBL
NM_001279.1,2.7465,10.2642,4.423163545961689e-12,7.030781964582346e-12,RefSeq
NONCODEG001289,1.7405,5.5858,7.851553199844345e-06,3.877972467138756e-05,lncRNAWiki
NONCODEG001013,0.0771,0.1639,0.30973848389433783,0.4490618152730941,lncRNAWiki
uc1258xyz.1,-2.1824,-8.0396,0.0008922664689172508,0.0043565713335945175,UCSC Genes
NR_001186.1,0.0492,0.1304,0.6621216318591707,1.0,RefSeq
NM_001288.1,0.2926,0.6663,0.39932122376289003,0.6687326126822026,RefSeq
AV_01089,-0.2802,-0.5992,0.02308506701329875,0.051,Ace View
ENST00000001094,1.6694,4.8464,2.326616779991063e-10,9.462962161848077e-10,ENSEMBL
AV_01380,-0.8972,-2.6852,0.3170188154922298,0.5397366624134396,Ace View
ENST00000001292,0.1542,0.4185,0.7326048305672053,1.0,ENSEMBL
LNC_CLEFT0012,2.45,8.11,4.8e-13,7.1e-11,lncRNAWiki
NM_001421.1,-2.1634,-7.1791,4.651906153425421e-09,6.760511727076516e-09,RefSeq
NM_001238.1,-1.5422,-5.7301,6.088835223296991e-05,0.00020447476981787436,RefSeq
NM_001204.1,-0.4998,-1.3289,0.025091651521667275,0.051,RefSeq
AV_01194,-0.1168,-0.2801,0.13467331234043006,0.16951980132835895,Ace View
NM_001074.1,-0.2978,-0.5451,0.41758387824964865,0.4888281740695167,RefSeq
uc003ghi.1,1.21,3.98,4.5e-05,0.0014,UCSC Genes
NR_001177.1,-0.1869,-0.4063,0.7493787534520796,0.9266123678709985,RefSeq
NONCODEG001133,-0.9177,-2.3368,0.7446867090913447,1.0,lncRNAWiki
ENST00000001277,0.0209,0.0403,0.5134461253503468,0.9251584747467798,ENSEMBL
ENST00000001110,-0.0489,-0.1012,0.27214076988148583,0.5120979587871148,ENSEMBL
MINT001188,0.7169,1.6783,0.8877142970157951,1.0,miTranscriptome
NM_001184.1,0.2945,0.7088,0.1465304815571601,0.23849401534261105,RefSeq
NR_001374.1,2.8066,8.2189,8.353270831452358e-10,4.148879815678311e-09,RefSeq
NR_001160.1,-0.3435,-0.6656,0.4827222493715478,0.6363093884795689,RefSeq
uc1083xyz.1,1.01,3.6931,3.5836930191785074e-09,1.1152158033776609e-08,UCSC Genes
ENST00000001286,-0.4596,-1.1881,0.07917961228943472,0.13559107732973422,ENSEMBL
LNC_WNT5A_02,1.32,4.31,1.2e-05,0.00044,lncRNAWiki
ENST00000001070,-2.0832,-7.4369,0.00019630218325344592,0.0006251290900291249,ENSEMBL
uc1427xyz.1,0.3235,0.881,0.9194991730679338,1.0,UCSC Genes
NR_001228.1,1.285,4.3626,0.00159867512287312,0.003511655159783396,RefSeq
NONCODEG001097,-0.1396,-0.4105,0.08763105627004074,0.12157777410617415,lncRNAWiki
uc1014xyz.1,-0.2073,-0.4082,0.2676068496933243,0.4250738049020535,UCSC Genes
NM_001149.1,-0.4867,-1.1672,0.6454681008681206,1.0,RefSeq
ENST00000383891,-1.55,-5.19,6.5e-07,3.1e-05,ENSEMBL
ENST00000254958,1.28,4.15,2.3e-05,0.00078,ENSEMBL
ENST00000001222,0.1152,0.2316,0.570890500551537,0.9696763586218479,ENSEMBL
XM_001023.1,0.7041,1.8051,0.10338896421664592,0.1166523484972022,RefSeq
MINT001165,-0.2596,-0.5956,0.5662611648368442,0.8632190349744873,miTranscriptome
ENST00000001436,-0.0752,-0.2114,0.7175347903802181,1.0,ENSEMBL
ENST00000001051,2.0843,7.392,1.7625184374562948e-05,4.294409401631559e-05,ENSEMBL
NONCODEG001210,2.1559,6.4846,0.0023794781800501458,0.0036285434128903106,lncRNAWiki
NONCODEG001223,0.4422,0.9993,0.8687769366827868,1.0,lncRNAWiki
ENST00000234435,1.74,5.81,1.9e-08,1.4e-06,ENSEMBL
ENST00000001179,-0.3852,-1.0731,0.8330505892869002,1.0,ENSEMBL
AV_01218,-0.6067,-1.8087,0.1332489142951101,0.24670199853372032,Ace View
ENST00000001383,-1.8335,-6.1161,8.809546194396102e-10,1.7297966959834299e-09,ENSEMBL
NM_033163.4,2.21,7.82,1.1e-12,1.5e-10,RefSeq
NONCODEG001073,1.409,4.4004,1.6959195441192623e-12,5.3623980879575165e-12,lncRNAWiki
XM_001002.1,0.7106,1.989,0.020534685086716523,0.051,RefSeq
ENST00000375929,-2.05,-6.78,9.8e-10,8.8e-08,ENSEMBL
NONCODEG001419,0.468,1.3487,0.7989871288752005,0.9065177841702288,lncRNAWiki
NONCODEG001314,0.7774,2.3087,0.21780354952340247,0.4348884615606818,lncRNAWiki
NM_003239.5,-2.76,-8.91,4.5e-14,7.3e-12,RefSeq
ENST00000001175,-0.995,-2.1909,0.8929006853091879,1.0,ENSEMBL
ENST00000001362,1.4392,5.4155,1.2898342755487366e-08,2.8053103252017037e-08,ENSEMBL
ENST00000001017,0.2753,0.5199,0.6928278024708969,1.0,ENSEMBL
NONCODEG001067,1.7337,3.8239,0.7723396224094079,1.0,lncRNAWiki
XM_001275.1,-0.3676,-0.7883,0.48258687933903355,0.5336191313862545,RefSeq
NM_001385.1,-0.4068,-0.8467,0.755882012789453,1.0,RefSeq
LNC_MSX1IT_03,-1.92,-6.28,4.5e-09,3.6e-07,lncRNAWiki
XM_001394.1,1.8491,6.7826,7.657353769920202e-07,3.4736072419606328e-06,RefSeq
ENST00000001428,-0.6398,-1.6239,0.1961972118235818,0.23725104212245424,ENSEMBL
LNC_IRF6AS_01,1.84,6.12,7.2e-09,5.5e-07,lncRNAWiki
NM_000193.4,1.45,4.88,2.1e-06,8.9e-05,RefSeq
NR_001410.1,-2.5021,-8.9306,4.349005852646249e-11,1.7342681314834063e-10,RefSeq
AV_01065,0.4742,1.3733,0.7697976115505425,1.0,Ace View
MINT004210,-2.31,-7.68,2.2e-12,3.2e-10,miTranscriptome
MINT001114,3.0919,8.7979,8.89229857984111e-09,4.112154946403488e-08,miTranscriptome
MINT001446,-1.082,-3.8531,1.7173076942535553e-08,2.0948964842900895e-08,miTranscriptome
NM_001075.1,-1.2885,-4.5047,2.263810451141413e-12,9.908074569665256e-12,RefSeq
NM_001071.1,0.49,0.9322,0.20581415509450415,0.34177527990134565,RefSeq
ENST00000001132,-2.51,-8.318,8.137526245980097e-12,2.0533995907367134e-11,ENSEMBL
NONCODEG001330,-0.1569,-0.4074,0.03580118415993228,0.06310896031732471,lncRNAWiki
NR_001138.1,-0.2386,-0.4641,0.16898294957863272,0.19937153874692495,RefSeq
ENST00000001101,0.2828,0.8102,0.522502909325225,0.7823840746288209,ENSEMBL
AV_01326,-0.5826,-1.7267,0.7350259962765839,0.8951045844745242,Ace View
XM_001347.1,0.1899,0.4939,0.3845291652468303,0.5361604915330629,RefSeq
AV_01152,0.4168,1.0532,0.33893579287705605,0.673758167396221,Ace View
ENST00000001361,0.4233,1.0288,0.6473808434127687,0.8178326672567984,ENSEMBL
uc1232xyz.1,0.3185,0.6773,0.7596456691415613,1.0,UCSC Genes
NR_001411.1,-0.8109,-1.928,0.011468669942786204,0.051,RefSeq
NONCODEG001098,0.0436,0.0939,0.6006135143491395,0.9030830626386331,lncRNAWiki
ENST00000001322,0.2223,0.6593,0.17151927031785963,0.22534012933348518,ENSEMBL
ENST00000001024,-1.7449,-5.6019,7.552982834768898e-12,1.621859912661304e-11,ENSEMBL
NONCODEG001167,-0.0914,-0.1843,0.6945932339682583,1.0,lncRNAWiki
NONCODEG001125,-1.7718,-5.1899,1.4131655230984922e-05,4.1152336946050856e-05,lncRNAWiki
ENST00000001450,0.7771,1.764,0.8419997956613556,1.0,ENSEMBL
AV_01332,0.4636,0.9846,0.19634330832489305,0.23575484066249383,Ace View
AV_01357,0.1265,0.2432,0.887779789438433,1.0,Ace View
ENST00000001229,2.2202,7.5416,0.001026726501211261,0.003168674846625012,ENSEMBL
XM_001066.1,0.2318,0.6124,0.7585821248394696,1.0,RefSeq
XM_001205.1,0.7885,1.6294,0.6263188208727336,0.7042243600276494,RefSeq
XM_001102.1,-0.3715,-0.9442,0.13669910626814122,0.24405705738747482,RefSeq
uc1049xyz.1,0.1045,0.2713,0.009728001984181535,0.051,UCSC Genes
XM_001109.1,-0.1299,-0.3247,0.6171005767081443,1.0,RefSeq
NONCODEG001324,0.2446,0.5458,0.42359468699752956,0.6622206620061517,lncRNAWiki
NM_001424.1,-0.6062,-1.5723,0.33286836502881123,0.59822709048096,RefSeq
NM_001040.1,-0.4457,-1.1648,0.039695609335470956,0.06477544015771643,RefSeq
ENST00000001202,0.5607,1.5892,0.14832299338824617,0.18744100513399825,ENSEMBL
AV_01122,-2.8279,-10.2888,1.9311376042148435e-12,8.497105699873263e-12,Ace View
ENST00000001120,-0.5941,-1.1016,0.8861593307029585,1.0,ENSEMBL
NONCODEG001156,0.1217,0.3607,0.10732491815748167,0.1564872476187019,lncRNAWiki
NM_001185.1,1.7666,6.4874,4.911167691831958e-09,6.231381398959737e-09,RefSeq
XM_001031.1,0.1175,0.259,0.211780312136723,0.25580495576787454,RefSeq
ENST00000001435,-0.1246,-0.3508,0.7753336450812177,1.0,ENSEMBL
ENST00000001315,0.1963,0.5137,0.6181590763432431,0.790989063419432,ENSEMBL
NR_001207.1,-0.5081,-1.0597,0.17043888428956258,0.28761075923048407,RefSeq
ENST00000001076,-0.5401,-1.3282,0.14945875349486065,0.19806552131190633,ENSEMBL
NR_001267.1,0.8076,1.9334,0.07324818565629487,0.1366874300868738,RefSeq
AV_01256,0.0749,0.1556,0.5777422183400373,0.9020980580789565,Ace View
ENST00000001212,-1.2456,-3.8108,5.4235814102409515e-11,1.3553019782881437e-10,ENSEMBL
NONCODEG001311,-0.3101,-0.6176,0.05827412770704504,0.07706129335172755,lncRNAWiki
XM_001356.1,0.3415,0.6394,0.232064699450908,0.44888996311288654,RefSeq
NONCODEG001182,-1.5519,-4.6273,1.2820617413636436e-05,3.222647797809838e-05,lncRNAWiki
NR_001310.1,0.9339,1.7724,0.5005561252283713,0.880193192391982,RefSeq
NONCODEG001191,0.4924,0.889,0.31910218232195997,0.5815854593332592,lncRNAWiki
uc1339xyz.1,-0.468,-1.0915,0.09011177928415805,0.15367139347377762,UCSC Genes
NR_001231.1,-2.2219,-7.1875,6.206296161105958e-08,2.368278616426043e-07,RefSeq
AV_SATB2_04,-1.82,-6.01,1.1e-08,8.7e-07,Ace View
XM_001153.1,-1.01,-2.9824,1.7633782448362245e-05,2.7980816859164118e-05,RefSeq
NR_001096.1,-1.3908,-5.1535,6.347227313905059e-07,7.878071119164537e-07,RefSeq
NR_001321.1,-0.7094,-1.3889,0.600350648867802,1.0,RefSeq
ENST00000001201,-0.2445,-0.5695,0.4311711041758782,0.6777799528940189,ENSEMBL
NM_001396.1,-0.0787,-0.1744,0.16567476472219672,0.2858645135270312,RefSeq
NM_001243.1,-0.1391,-0.3031,0.6888036661807946,0.7981999512342997,RefSeq
ENST00000001016,-0.3046,-0.8067,0.006240489150298676,0.051,ENSEMBL
ENST00000001068,-0.3478,-0.8203,0.5497878538053691,0.6225512022003422,ENSEMBL
ENST00000001046,-1.6441,-5.7969,1.9020283463535057e-06,4.8064187526032625e-06,ENSEMBL
NR_001393.1,1.1218,3.2721,0.8207397132382332,0.9712668284663751,RefSeq
NM_003392.5,-1.88,-6.15,6.7e-09,5.2e-07,RefSeq
AV_01317,1.01,3.2027,2.8695468700969955e-07,7.21562760957302e-07,Ace View
uc1303xyz.1,0.0121,0.0229,0.3337449577175125,0.37709268661496187,UCSC Genes
NR_001295.1,2.2254,7.1887,0.00020451961856136333,0.0007782274362369627,RefSeq
ENST00000001115,-0.3453,-0.9904,0.26763406692302655,0.523323715275712,ENSEMBL
uc1107xyz.1,-0.0961,-0.2297,0.8611303114549044,1.0,UCSC Genes
ENST00000001134,1.01,3.3255,1.3747075432988252e-07,6.769230112867962e-07,ENSEMBL
uc1350xyz.1,-0.4933,-1.118,0.37696788433718337,0.6506165941494928,UCSC Genes
NM_001141.1,0.0159,0.0461,0.07858932131947943,0.14823680952040802,RefSeq
XM_001406.1,-0.276,-0.6656,0.6578611132677311,0.760528641093267,RefSeq
NM_002855.5,1.35,4.25,1.5e-05,0.00053,RefSeq
NONCODEG001337,2.0079,5.6823,1.4614688168453189e-09,2.5293272056411393e-09,lncRNAWiki
XM_001060.1,-0.3811,-0.7634,0.8087287012694971,1.0,RefSeq
uc1038xyz.1,0.356,0.9114,0.3500261929505713,0.584220054642436,UCSC Genes
MINT008912,1.98,6.55,1.8e-09,1.6e-07,miTranscriptome
ENST00000001271,0.4989,1.3053,0.7953256486171247,1.0,ENSEMBL
NM_001124.1,0.0024,0.0067,0.7307690570063045,1.0,RefSeq
NONCODEG001426,0.5336,1.013,0.25252906048042884,0.28254225672631383,lncRNAWiki
XM_001253.1,0.1054,0.201,0.9025131635687638,1.0,RefSeq
NR_001431.1,0.4175,1.0805,0.7109214472786259,1.0,RefSeq
XM_001155.1,-0.2192,-0.5325,0.8520303879704775,0.9987588572674976,RefSeq
AV_01254,0.4429,1.1234,0.8975506891545483,1.0,Ace View
uc1373xyz.1,-0.6164,-1.4086,0.13048132517633973,0.2251625020350949,UCSC Genes
MINT001103,-0.1446,-0.382,0.09696541964052793,0.11400186817918945,miTranscriptome
NR_001349.1,2.2207,6.2308,0.0002280415446097297,0.0007454811662358477,RefSeq
XM_001104.1,1.5174,4.8166,0.0004943581703192913,0.0024466924841944136,RefSeq
ENST00000001404,-0.096,-0.1795,0.05619744193469652,0.11213523401090619,ENSEMBL
NM_001244.1,0.6511,1.8643,0.30349612528253433,0.5048057846475337,RefSeq
XM_001080.1,0.1997,0.4773,0.4509909638038716,0.535800150348703,RefSeq
NM_001325.1,-0.1668,-0.3785,0.5637103580117461,0.7030434844954541,RefSeq
ENST00000001053,-1.5523,-4.7253,1.0155466337472043e-06,2.2420923731883105e-06,ENSEMBL
NM_001100.1,0.2809,0.5249,0.08755459179320715,0.13526994212978474,RefSeq
MINT001196,2.9094,8.6642,0.002374666701329077,0.008837184430773741,miTranscriptome
uc1399xyz.1,0.368,0.727,0.47793520656380684,0.6972103140951293,UCSC Genes
ENST00000001054,-1.8463,-6.637,1.0606149044589414e-11,3.816439012697981e-11,ENSEMBL
ENST00000001364,0.0564,0.1568,0.9038817717541174,1.0,ENSEMBL
ENST00000001079,0.4646,0.901,0.7201959588306862,0.8015450738239179,ENSEMBL
NR_001140.1,-1.01,-3.4622,0.00133824204824043,0.005671147974447314,RefSeq
uc1159xyz.1,-2.3865,-7.1287,6.921474293029484e-06,2.8544666263507594e-05,UCSC Genes
NONCODEG001203,-0.933,-1.9826,0.8988635735648174,1.0,lncRNAWiki
AV_01262,0.6964,1.4754,0.08782100869046937,0.16595665779786475,Ace View
NR_001255.1,-0.0963,-0.2001,0.15951521484137937,0.3177625650335645,RefSeq
NM_001308.1,0.4028,0.7638,0.3231382327231229,0.5924230885064542,RefSeq
ENST00000001343,0.4728,1.2249,0.643011203102607,0.8321257087132025,ENSEMBL
AV_01352,0.7389,1.6668,0.5888963383631242,0.8934409229219837,Ace View
NR_001241.1,-1.3911,-4.7245,4.2199081238048796e-11,5.6573312584049564e-11,RefSeq
NONCODEG001082,0.7346,1.6525,0.6037038746733939,0.6886894477545955,lncRNAWiki
AV_01259,0.5351,1.0748,0.8814369167522571,1.0,Ace View
ENST00000001180,-0.1214,-0.252,0.7576333021247964,0.9356208243127513,ENSEMBL
MINT001375,1.4678,4.959,0.00032430849950591367,0.001281825292091356,miTranscriptome
ENST00000001176,2.0031,7.3992,4.067324461914724e-09,1.3125874880022792e-08,ENSEMBL
NR_001086.1,2.7516,10.2951,1.4015143225792532e-07,4.587638217585864e-07,RefSeq
NR_001377.1,-0.0916,-0.2039,0.3078796124476292,0.40147217044116923,RefSeq
ENST00000001246,0.037,0.111,0.8921752458887384,1.0,ENSEMBL
ENST00000001401,-0.0841,-0.1951,0.5225035295643711,1.0,ENSEMBL
ENST00000001333,0.1075,0.3142,0.05517542642875979,0.08706972376371377,ENSEMBL
ENST00000001248,3.1793,11.3448,1.5851392334228144e-11,7.829822480871789e-11,ENSEMBL
NONCODEG001312,-0.1442,-0.291,0.9270961277723556,1.0,lncRNAWiki
uc1251xyz.1,-0.1268,-0.231,0.22269375574636452,0.2533996327633198,UCSC Genes
NONCODEG001353,0.4544,1.0793,0.8203036334436621,1.0,lncRNAWiki
XM_001297.1,-0.6438,-1.5106,0.7578835865046916,1.0,RefSeq
ENST00000001069,-0.1066,-0.2674,0.5159697583374901,0.7006286927241566,ENSEMBL
ENST00000001136,0.165,0.4745,0.17360420009478844,0.2449729831026074,ENSEMBL
ENST00000001264,0.1286,0.245,0.6228246396264316,0.9938858925907557,ENSEMBL
NONCODEG001389,-1.9855,-6.1612,5.846896032652314e-10,7.819693983814609e-10,lncRNAWiki
NR_001444.1,-0.0941,-0.232,0.7602673492955023,0.9759035522160773,RefSeq
NM_001438.1,0.0815,0.1508,0.9354515828087583,1.0,RefSeq
AV_01379,-0.3465,-0.8943,0.5134713069596806,0.9715242610419073,Ace View
ENST00000001190,1.8334,5.234,7.636306657985945e-09,2.074181460523104e-08,ENSEMBL
MINT001268,1.1371,2.972,0.7974724403548797,0.9881669875118317,miTranscriptome
NONCODEG001121,2.8989,10.4665,0.0017762894741008858,0.004672637449607289,lncRNAWiki
ENST00000001093,-1.4338,-5.3491,1.3306899379164542e-10,3.32014252441953e-10,ENSEMBL
NM_001154.1,-0.2928,-0.5879,0.17805210582468917,0.2415429320389041,RefSeq
AV_01215,0.7897,1.5542,0.9010821883070866,1.0,Ace View
NONCODEG001189,-0.23,-0.6457,0.10846290550287672,0.21544606016171677,lncRNAWiki
NM_001072.1,1.8273,6.4434,2.3118856255460743e-08,8.374189851609713e-08,RefSeq
NONCODEG001077,-0.1505,-0.3215,0.6791515306423591,1.0,lncRNAWiki
NM_001306.1,-1.01,-2.8805,0.001584643684619807,0.007539111150744157,RefSeq
uc1181xyz.1,-0.4404,-1.1317,0.6864176874050198,1.0,UCSC Genes
NONCODEG001359,-1.859,-6.3398,2.3876346429667275e-08,5.689659950643198e-08,lncRNAWiki
NR_001354.1,-0.6253,-1.5817,0.5515835783967383,0.8716356981851142,RefSeq
ENST00000001084,-0.4417,-0.8091,0.06796974128300792,0.11406528033271868,ENSEMBL
ENST00000001242,-0.1955,-0.4317,0.07402858834611949,0.12782219482428708,ENSEMBL
ENST00000001368,-0.1327,-0.3383,0.6345048544276054,0.7525111982279915,ENSEMBL
ENST00000001064,-1.1502,-4.1514,1.2157214052757335e-06,2.8151840663804315e-06,ENSEMBL
uc1327xyz.1,0.5224,0.9863,0.4316462747730736,0.5665121750961442,UCSC Genes
XM_001282.1,-0.2515,-0.4594,0.7205917729366424,0.8085963669801903,RefSeq
XM_001090.1,0.1607,0.4309,0.5978667615941099,1.0,RefSeq
